Skin Name,StatTrak Factory New,StatTrak Factory New Median,StatTrak Min Wear,StatTrak Min Wear Median,StatTrak Field-Tested,StatTrak Field-Tested Median,StatTrak Well Worn,StatTrak Well Worn Median,StatTrak Battle-Scarred,StatTrak Battle-Scarred Median,Factory New,Factory New Median,Min Wear,Min Wear Median,Field-Tested,Field-Tested Median,Well-Worn,Well-Worn Median,Battle-Scarred,Battle-Scarred Median,Rarity
M4A1-S-Printstream,$2,090.61,$1,607.47,$1,150.00,$1,094.68,$621.42,$632.50,$562.66,$453.77,$503.07,$369.51,$1,267.38,$1,218.13,$571.91,$574.84,$387.98,$387.99,$500.45,$344.78,$304.00,$295.00,Covert
Glock-18-Neo-Noir,$537.47,$300.81,$128.96,$115.73,$58.49,$55.00,$56.60,$53.23,$57.00,$51.93,$272.27,$249.96,$52.53,$52.99,$18.99,$18.65,$11.82,$11.94,$13.11,$12.92,Covert
Five-SeveN-Fairy-Tale,$361.84,$350.01,$114.24,$114.98,$53.68,$50.00,$48.49,$40.19,$46.92,$42.49,$137.20,$137.70,$63.09,$63.67,$36.08,$35.00,$32.75,$32.62,$31.78,$29.56,Classified
M4A4-Cyber-Security,$186.76,$199.00,$100.00,$89.70,$58.20,$46.71,$51.90,$42.09,$46.00,$38.12,$164.69,$159.00,$65.21,$67.69,$37.50,$36.46,$30.70,$28.13,$29.90,$28.31,Classified
USP-S-Monster-Mashup,$175.00,$173.33,$100.00,$90.00,$53.74,$47.06,$53.68,$40.04,$41.72,$38.78,$121.98,$113.12,$57.61,$57.78,$36.22,$36.08,$34.43,$30.75,$30.65,$30.22,Classified
AWP-Exoskeleton,$51.30,$44.81,$20.13,$18.00,$9.96,$9.75,$8.71,$8.71,$9.32,$8.57,$32.52,$32.48,$8.90,$8.84,$5.67,$5.63,$4.31,$4.12,$4.03,$3.92,Restricted
Dual-Berettas-Dezastre,$29.90,$28.04,$19.45,$18.49,$7.03,$6.33,$6.28,$4.84,$4.75,$4.50,$20.98,$15.20,$9.36,$9.36,$4.50,$4.06,$4.37,$3.50,$3.35,$3.35,Restricted
Nova-Clear-Polymer,$25.57,$57.78,$13.31,$12.94,$6.10,$6.00,$6.44,$6.36,$6.01,$5.86,$17.76,$13.86,$9.45,$9.24,$4.45,$4.32,$3.86,$3.50,$3.80,$3.60,Restricted
SSG-08-Parallax,$27.46,$25.01,$13.23,$13.15,$6.44,$6.41,$5.00,$4.75,$4.92,$4.37,$14.31,$13.41,$9.00,$9.17,$4.95,$4.91,$3.86,$3.85,$3.88,$3.83,Restricted
UMP-45-Gold-Bismuth,$21.73,$21.71,$12.00,$13.90,$6.48,$6.49,$7.56,$5.69,$5.40,$5.39,$15.42,$14.15,$9.36,$9.94,$4.65,$4.62,$4.49,$2.88,$3.82,$3.71,Restricted
Galil-AR-Vandal,$8.48,$8.49,$2.42,$2.20,$1.26,$1.25,$0.81,$0.81,$1.06,$1.04,$2.62,$2.64,$1.44,$1.30,$1.40,$1.27,$1.07,$1.08,$1.09,$1.00,Mil-Spec
M249-Deep-Relief,$7.28,$8.06,$2.92,$2.94,$1.08,$0.96,$0.85,$0.81,$0.82,$0.84,$2.10,$2.10,$1.85,$1.18,$1.38,$1.45,$1.34,$1.02,$1.17,$1.01,Mil-Spec
MP5-SD-Condition-Zero,$6.18,$6.79,$1.86,$1.86,$1.08,$1.05,$1.05,$0.95,$0.80,$0.79,$2.46,$2.16,$2.01,$1.33,$1.49,$1.67,$1.06,$1.19,$1.19,$1.16,Mil-Spec
CZ75-Auto-Vendetta,$5.68,$5.80,$2.14,$2.02,$1.07,$1.00,$0.84,$0.75,$0.94,$0.88,$1.99,$1.92,$1.41,$1.36,$1.49,$1.43,$1.05,$1.05,$1.15,$1.12,Mil-Spec
P250-Contaminant,$4.29,$3.45,$2.76,$1.81,$1.18,$1.16,$1.31,$1.09,$0.80,$0.85,$1.95,$1.94,$1.28,$1.30,$1.56,$1.37,$1.19,$0.60,$1.10,$1.25,Mil-Spec
G3SG1-Digital-Mesh,$3.73,$4.19,$2.44,$2.44,$1.11,$1.07,$1.40,$1.02,$0.81,$0.60,$2.04,$2.17,$1.58,$1.49,$1.43,$1.35,$1.44,$1.50,$1.38,$1.38,Mil-Spec
P90-Cocoa-Rampage,$3.98,$5.38,$2.33,$2.00,$1.10,$1.02,$1.03,$1.03,$0.93,$1.07,$1.95,$1.92,$1.47,$1.32,$1.53,$1.61,$1.18,$1.07,$1.12,$1.06,Mil-Spec
